date,sentiment_neg,sentiment_neu,sentiment_pos
2019-08-30 13:50:56+00:00,"0,048","0,915","0,037"
2019-08-30 13:48:39+00:00,"0,107","0,893","0,0"
2019-08-30 13:46:15+00:00,,,
2019-08-30 13:46:13+00:00,"0,175","0,782","0,043"
2019-08-30 13:45:26+00:00,,,
2019-08-30 13:44:21+00:00,"0,0","0,803","0,197"
2019-08-30 13:44:04+00:00,"0,04","0,96","0,0"
2019-08-30 13:42:07+00:00,"0,0","1,0","0,0"
2019-08-30 13:41:39+00:00,,,
2019-08-30 13:40:09+00:00,"0,0","0,976","0,024"
2019-08-30 13:36:39+00:00,"0,25","0,661","0,089"
2019-08-30 13:33:12+00:00,,,
2019-08-30 13:33:09+00:00,"0,026","0,941","0,033"
2019-08-30 13:32:56+00:00,"0,0","0,876","0,124"
2019-08-30 13:29:44+00:00,"0,0","1,0","0,0"
2019-08-30 13:24:33+00:00,"0,0","0,726","0,274"
2019-08-30 13:23:46+00:00,"0,0","0,714","0,286"
2019-08-30 13:21:21+00:00,"0,101","0,899","0,0"
2019-08-30 13:19:32+00:00,"0,0","0,647","0,353"
2019-08-30 13:14:01+00:00,"0,0","1,0","0,0"
2019-08-30 13:09:00+00:00,"0,06","0,783","0,157"
2019-08-30 13:04:33+00:00,,,
2019-08-30 13:04:08+00:00,"0,0","0,844","0,156"
2019-08-30 13:00:57+00:00,"0,061","0,865","0,075"
2019-08-30 13:00:49+00:00,,,
2019-08-30 13:00:39+00:00,,,
2019-08-30 12:54:02+00:00,,,
2019-08-30 12:47:15+00:00,"0,0","0,832","0,168"
2019-08-30 12:41:57+00:00,"0,0","1,0","0,0"
2019-08-30 12:39:48+00:00,,,
2019-08-30 12:39:44+00:00,"0,0","0,948","0,052"
2019-08-30 12:38:43+00:00,"0,0","0,75","0,25"
2019-08-30 12:30:42+00:00,,,
2019-08-30 12:29:05+00:00,"0,0","1,0","0,0"
2019-08-30 12:23:46+00:00,"0,0","0,897","0,103"
2019-08-30 12:22:02+00:00,"0,0","0,612","0,388"
2020-11-12 11:05:43+00:00,"0,0","0,85","0,15"
2019-08-30 12:21:15+00:00,"0,0","1,0","0,0"
2019-08-30 12:18:46+00:00,"0,0","1,0","0,0"
2019-08-30 12:14:15+00:00,"0,0","1,0","0,0"
2019-08-30 11:54:12+00:00,,,
2019-08-30 11:48:41+00:00,,,
2019-08-30 11:47:57+00:00,,,
