brand,Date,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_neg_perc,sentiment_pos_perc,polarity
Starbucks,2019-07-25,0.03,0.839,0.131,18.63,81.37,62.74000000000001
Starbucks,2019-07-26,0.028,0.825,0.147,16.0,84.0,68.0
Starbucks,2019-07-27,0.017,0.849,0.134,11.26,88.74,77.47999999999999
Starbucks,2019-07-28,0.031,0.843,0.127,19.62,80.38,60.75999999999999
Starbucks,2019-07-29,0.03,0.827,0.143,17.34,82.66,65.32
Starbucks,2019-07-30,0.027,0.826,0.147,15.52,84.48,68.96000000000001
Starbucks,2019-07-31,0.028,0.836,0.137,16.97,83.03,66.06
Starbucks,2019-08-01,0.031,0.841,0.128,19.5,80.5,61.0
Starbucks,2019-08-02,0.021,0.818,0.162,11.48,88.52,77.03999999999999
Starbucks,2019-08-03,0.033,0.84,0.127,20.62,79.38,58.75999999999999
Starbucks,2019-08-04,0.027,0.826,0.147,15.52,84.48,68.96000000000001
Starbucks,2019-08-05,0.032,0.846,0.122,20.78,79.22,58.44
Starbucks,2019-08-06,0.038,0.822,0.14,21.35,78.65,57.300000000000004
Starbucks,2019-08-07,0.033,0.84,0.127,20.62,79.38,58.75999999999999
Starbucks,2019-08-08,0.037,0.824,0.14,20.9,79.1,58.199999999999996
Starbucks,2019-08-09,0.032,0.836,0.132,19.51,80.49,60.97999999999999
Starbucks,2019-08-10,0.035,0.85,0.115,23.33,76.67,53.34
Starbucks,2019-08-11,0.031,0.828,0.141,18.02,81.98,63.96000000000001
Starbucks,2019-08-12,0.034,0.831,0.136,20.0,80.0,60.0
Starbucks,2019-08-13,0.023,0.845,0.132,14.84,85.16,70.32
Starbucks,2019-08-14,0.03,0.818,0.152,16.48,83.52,67.03999999999999
Starbucks,2019-08-15,0.034,0.825,0.141,19.43,80.57,61.13999999999999
Starbucks,2019-08-16,0.027,0.802,0.171,13.64,86.36,72.72
Starbucks,2019-08-17,0.031,0.834,0.135,18.67,81.33,62.66
Starbucks,2019-08-18,0.03,0.835,0.135,18.18,81.82,63.63999999999999
Starbucks,2019-08-19,0.033,0.848,0.118,21.85,78.15,56.300000000000004
Starbucks,2019-08-20,0.031,0.849,0.121,20.39,79.61,59.22
Starbucks,2019-08-21,0.027,0.863,0.11,19.71,80.29,60.580000000000005
Starbucks,2019-08-22,0.026,0.838,0.135,16.15,83.85,67.69999999999999
Starbucks,2019-08-23,0.031,0.833,0.136,18.56,81.44,62.879999999999995
Starbucks,2019-08-24,0.035,0.846,0.119,22.73,77.27,54.53999999999999
