date;trend;replies;likes;caption
3/6/20, 03:03 PM;;0;0;HENNES & MAURIT/ADR announces Annual dividend of $0.068.  Payable on 5/29/2020. 1.92% Yield.  marketbeat.com/stocks/OTCMK... $HNNMY
3/4/20, 06:01 PM;;0;0;$HNNMY NEW ARTICLE : H&M joins the ‘open innovation’ craze with a plan to share its production chain with rivals dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
2/27/20, 12:57 PM;;0;0;$HNNMY NEW ARTICLE : Hennes & Mauritz gets double-upgrade at JPMorgan Cazenove dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
2/14/20, 08:25 PM;;0;0;$HNNMY NEW ARTICLE : H&M becomes the latest fashion company to join the celebrity black designer trend dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
2/9/20, 02:57 PM;;0;0;$HNNMY - Latest headline from nasdaq.com/:… macroaxis.com/invest/market... #insidertrading #stocks #fintechnews
1/30/20, 02:29 AM;;0;0;"$HNNMY Earnings Call Tomorrow: 8:00 AM EST 
Analyst Rating: Buy 
Webcast: hmgroup.com/investors/repor..."
1/10/20, 01:09 PM;Bullish;0;0;$HNNMY $HNP $HNR $HNRG ......
1/8/20, 02:45 PM;;0;0;$HNNMY NEW ARTICLE : What The Gap Can Learn From H&M’s Recovery Story dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
12/31/19, 01:40 PM;;0;0;$LULU $HNNMY $WMT $SHOO $LEVI 25 sec ago: Fashion Industry's Strategic Shift Puts 4 Stocks on Top: The fashion industry is home to fast-moving and ground-breaking trends, most of which set the pace for years to c.. newsfilter.io/articles/fash...
12/26/19, 12:13 AM;;0;0;$HNNMY NEW ARTICLE : H&M Shows How a Brick-and-Mortar Business Can Adapt https://dashboard.stck.pro/news.php?ticker=HNNMY&rowid=3065730 Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
12/16/19, 11:13 AM;;0;0;$HNNMY NEW ARTICLE : H&M's recovery continues as fourth quarter sales jump 9% dashboard.stck.pro/news.php... Get all the latest $HNNMY related news here : dashboard.stck.pro/news.php...
