brand,Date,bullish,bearish,polarity
Nike,2020-05-15,8,2,0.6
Nike,2020-05-16,2,1,0.33
Nike,2020-05-17,1,0,1.0
Nike,2020-05-18,8,1,0.78
Nike,2020-05-19,9,3,0.5
Nike,2020-05-20,9,2,0.64
Nike,2020-05-21,7,1,0.75
Nike,2020-05-22,2,0,1.0
Nike,2020-05-24,1,0,1.0
Nike,2020-05-25,1,0,1.0
Nike,2020-05-26,6,1,0.71
Nike,2020-05-27,5,6,-0.09
Nike,2020-05-28,9,10,-0.05
Nike,2020-05-29,6,8,-0.14
Nike,2020-05-30,6,1,0.71
Nike,2020-05-31,0,2,-1.0
Nike,2020-06-01,16,5,0.52
Nike,2020-06-02,5,3,0.25
Nike,2020-06-03,6,3,0.33
Nike,2020-06-04,13,8,0.24
Nike,2020-06-05,5,1,0.67
Nike,2020-06-06,1,0,1.0
Nike,2020-06-07,1,1,0.0
Nike,2020-06-08,5,0,1.0
Nike,2020-06-09,6,0,1.0
Nike,2020-06-10,4,1,0.6
Nike,2020-06-11,3,3,0.0
Nike,2020-06-12,8,0,1.0
Nike,2020-06-13,1,0,1.0
Nike,2020-06-14,0,1,-1.0
Nike,2020-06-15,6,0,1.0
Nike,2020-06-16,9,1,0.8
Nike,2020-06-17,4,0,1.0
Nike,2020-06-18,3,0,1.0
Nike,2020-06-19,6,1,0.71
Nike,2020-06-20,5,0,1.0
Nike,2020-06-21,0,2,-1.0
Nike,2020-06-22,29,5,0.71
Nike,2020-06-23,29,6,0.66
Nike,2020-06-24,34,8,0.62
Nike,2020-06-25,144,135,0.03
Nike,2020-06-26,54,164,-0.5
Nike,2020-06-27,7,13,-0.3
Nike,2020-06-28,2,4,-0.33
Nike,2020-06-29,11,11,0.0
Nike,2020-06-30,6,2,0.5
Nike,2020-07-01,7,4,0.27
Nike,2020-07-02,8,4,0.33
Nike,2020-07-03,1,1,0.0
Nike,2020-07-04,0,3,-1.0
Nike,2020-07-05,1,2,-0.33
Nike,2020-07-06,9,4,0.38
Nike,2020-07-07,5,8,-0.23
Nike,2020-07-08,4,8,-0.33
Nike,2020-07-09,4,3,0.14
Nike,2020-07-10,1,1,0.0
Nike,2020-07-11,2,2,0.0
Nike,2020-07-12,2,0,1.0
Nike,2020-07-13,1,4,-0.6
Nike,2020-07-14,3,3,0.0
Nike,2020-07-15,1,1,0.0
Nike,2020-07-16,3,4,-0.14
Nike,2020-07-17,0,1,-1.0
Nike,2020-07-18,2,0,1.0
Nike,2020-07-19,1,0,1.0
Nike,2020-07-21,11,8,0.16
Nike,2020-07-22,9,7,0.12
Nike,2020-07-23,15,12,0.11
Nike,2020-07-24,5,6,-0.09
Nike,2020-07-27,1,3,-0.5
Nike,2020-07-28,4,5,-0.11
Nike,2020-07-29,3,0,1.0
Nike,2020-07-30,1,3,-0.5
Nike,2020-07-31,1,0,1.0
Nike,2020-08-01,2,0,1.0
Nike,2020-08-02,1,1,0.0
Nike,2020-08-03,6,1,0.71
Nike,2020-08-04,2,1,0.33
Nike,2020-08-05,23,13,0.28
Nike,2020-08-06,8,4,0.33
Nike,2020-08-07,9,1,0.8
Nike,2020-08-08,2,0,1.0
Nike,2020-08-10,13,3,0.62
Nike,2020-08-11,5,4,0.11
Nike,2020-08-12,11,2,0.69
Nike,2020-08-13,15,0,1.0
Nike,2020-08-14,7,2,0.56
Nike,2020-08-15,2,0,1.0
Nike,2020-08-16,3,0,1.0
Nike,2020-08-17,2,0,1.0
Nike,2020-08-18,11,0,1.0
Nike,2020-08-19,18,1,0.89
Nike,2020-08-20,9,3,0.5
Nike,2020-08-21,9,0,1.0
Nike,2020-08-22,1,0,1.0
Nike,2020-08-23,2,0,1.0
Nike,2020-08-24,10,2,0.67
Nike,2020-08-25,2,3,-0.2
Nike,2020-08-26,7,2,0.56
Nike,2020-08-27,2,9,-0.64
Nike,2020-08-28,3,1,0.5
Nike,2020-08-30,1,1,0.0
Nike,2020-08-31,4,1,0.6
Nike,2020-09-01,7,2,0.56
Nike,2020-09-02,14,3,0.65
Nike,2020-09-03,8,6,0.14
Nike,2020-09-04,0,5,-1.0
Nike,2020-09-06,0,1,-1.0
Nike,2020-09-07,5,0,1.0
Nike,2020-09-08,7,5,0.17
Nike,2020-09-09,7,2,0.56
Nike,2020-09-10,3,3,0.0
Nike,2020-09-11,21,6,0.56
Nike,2020-09-12,5,1,0.67
Nike,2020-09-14,11,4,0.47
Nike,2020-09-15,12,3,0.6
Nike,2020-09-16,14,0,1.0
Nike,2020-09-17,3,2,0.2
Nike,2020-09-18,12,1,0.85
Nike,2020-09-19,6,1,0.71
Nike,2020-09-20,4,1,0.6
Nike,2020-09-21,5,3,0.25
Nike,2020-09-22,186,52,0.56
Nike,2020-09-23,240,179,0.15
Nike,2020-09-24,33,137,-0.61
Nike,2020-09-25,21,64,-0.51
Nike,2020-09-26,1,3,-0.5
Nike,2020-09-27,1,3,-0.5
Nike,2020-09-28,17,6,0.48
Nike,2020-09-29,21,8,0.45
Nike,2020-09-30,3,8,-0.45
Nike,2020-10-01,6,4,0.2
Nike,2020-10-02,0,5,-1.0
Nike,2020-10-03,1,0,1.0
Nike,2020-10-04,3,1,0.5
Nike,2020-10-05,11,2,0.69
Nike,2020-10-06,14,3,0.65
Nike,2020-10-07,6,3,0.33
Nike,2020-10-08,10,20,-0.33
Nike,2020-10-09,13,2,0.73
Nike,2020-10-10,2,0,1.0
Nike,2020-10-11,0,1,-1.0
Nike,2020-10-12,6,1,0.71
Nike,2020-10-13,4,1,0.6
Nike,2020-10-14,1,2,-0.33
Nike,2020-10-15,1,3,-0.5
Nike,2020-10-16,5,0,1.0
Nike,2020-10-17,2,0,1.0
Nike,2020-10-18,2,0,1.0
Nike,2020-10-19,4,2,0.33
Nike,2020-10-20,2,3,-0.2
Nike,2020-10-21,8,4,0.33
Nike,2020-10-22,10,4,0.43
Nike,2020-10-23,5,2,0.43
Nike,2020-10-25,2,1,0.33
Nike,2020-10-26,1,3,-0.5
Nike,2020-10-27,3,2,0.2
Nike,2020-10-28,5,2,0.43
Nike,2020-10-29,1,2,-0.33
Nike,2020-10-30,3,5,-0.25
Nike,2020-10-31,3,0,1.0
Nike,2020-11-01,1,0,1.0
Nike,2020-11-02,2,1,0.33
Nike,2020-11-03,7,1,0.75
Nike,2020-11-04,1,0,1.0
Nike,2020-11-05,1,0,1.0
Nike,2020-11-06,4,1,0.6
Nike,2020-11-07,1,0,1.0
Nike,2020-11-08,1,0,1.0
Nike,2020-11-09,7,2,0.56
Nike,2020-11-10,1,0,1.0
Nike,2020-11-11,3,0,1.0
Nike,2020-11-12,3,0,1.0
Nike,2020-11-13,1,0,1.0
Nike,2020-11-16,4,0,1.0
Nike,2020-11-17,5,2,0.43
Nike,2020-11-18,2,2,0.0
Nike,2020-11-19,3,1,0.5
Nike,2020-11-20,10,0,1.0
Nike,2020-11-22,2,0,1.0
Nike,2020-11-23,6,0,1.0
Nike,2020-11-24,5,0,1.0
Nike,2020-11-25,1,1,0.0
Nike,2020-11-26,5,1,0.67
Nike,2020-11-27,6,3,0.33
Nike,2020-11-28,1,0,1.0
Nike,2020-11-29,1,0,1.0
Nike,2020-11-30,3,2,0.2
Nike,2020-12-01,4,2,0.33
Nike,2020-12-02,4,0,1.0
Nike,2020-12-03,5,1,0.67
Nike,2020-12-04,4,1,0.6
Nike,2020-12-06,2,0,1.0
Nike,2020-12-07,9,1,0.8
Nike,2020-12-08,4,0,1.0
Nike,2020-12-09,3,0,1.0
Nike,2020-12-10,5,1,0.67
Nike,2020-12-11,3,1,0.5
Nike,2020-12-12,3,1,0.5
Nike,2020-12-13,4,0,1.0
Nike,2020-12-14,19,0,1.0
Nike,2020-12-15,23,3,0.77
Nike,2020-12-16,25,1,0.92
Nike,2020-12-17,47,4,0.84
Nike,2020-12-18,192,46,0.61
Nike,2020-12-19,36,6,0.71
Nike,2020-12-20,7,1,0.75
Nike,2020-12-21,88,13,0.74
Nike,2020-12-22,18,3,0.71
Nike,2020-12-23,17,6,0.48
Nike,2020-12-24,10,1,0.82
Nike,2020-12-27,1,0,1.0
Nike,2020-12-28,10,0,1.0
Nike,2020-12-29,8,0,1.0
Nike,2020-12-30,5,0,1.0
Nike,2020-12-31,3,0,1.0
Nike,2021-01-04,1,1,0.0
Nike,2021-01-05,3,1,0.5
Nike,2021-01-06,7,1,0.75
