date,sentiment_neg,sentiment_neu,sentiment_pos
2019-07-31 12:02:12+00:00,"0,0","0,821","0,179"
2019-07-31 12:01:39+00:00,,,
2019-07-31 11:49:02+00:00,"0,0","0,92","0,08"
2019-07-31 11:33:18+00:00,,,
2019-07-31 11:30:00+00:00,"0,0","1,0","0,0"
2019-07-31 11:29:47+00:00,"0,0","1,0","0,0"
2019-07-31 11:13:01+00:00,"0,0","1,0","0,0"
2019-07-31 11:07:55+00:00,"0,0","0,632","0,368"
2019-07-31 11:07:20+00:00,,,
2019-07-31 11:05:27+00:00,"0,0","1,0","0,0"
2019-07-31 11:05:01+00:00,"0,0","0,938","0,062"
2019-07-31 11:01:17+00:00,,,
2019-07-31 11:00:21+00:00,"0,0","1,0","0,0"
2019-07-31 11:00:05+00:00,,,
2019-07-31 10:58:14+00:00,"0,0","1,0","0,0"
2019-07-31 10:58:00+00:00,"0,044","0,869","0,087"
2019-07-31 10:50:30+00:00,"0,0","0,801","0,199"
2019-07-31 10:41:37+00:00,,,
2019-07-31 10:40:08+00:00,"0,0","0,868","0,132"
2019-07-31 10:36:33+00:00,,,
2019-07-31 10:34:28+00:00,"0,0","0,87","0,13"
2019-07-31 10:34:16+00:00,"0,04","0,831","0,128"
2019-07-31 10:32:56+00:00,"0,099","0,675","0,226"
2019-07-31 10:32:49+00:00,"0,0","1,0","0,0"
2019-07-31 10:30:17+00:00,"0,0","0,86","0,14"
2019-07-31 10:27:37+00:00,"0,0","1,0","0,0"
2019-07-31 10:04:52+00:00,"0,29","0,516","0,195"
2019-07-31 10:00:52+00:00,"0,0","0,702","0,298"
2019-07-31 09:51:02+00:00,"0,0","0,848","0,152"
2019-07-31 09:49:43+00:00,"0,0","0,895","0,105"
2019-07-31 09:47:54+00:00,,,
2019-07-31 09:47:52+00:00,"0,0","0,891","0,109"
2019-07-31 09:47:10+00:00,,,
2019-07-31 09:46:26+00:00,"0,0","0,892","0,108"
2019-07-31 09:30:35+00:00,"0,0","0,89","0,11"
2019-07-31 09:23:33+00:00,,,
2019-07-31 09:22:54+00:00,,,
2019-07-31 09:20:02+00:00,,,
2019-07-31 09:17:24+00:00,"0,0","1,0","0,0"
2019-07-31 09:10:03+00:00,,,
2019-07-31 09:03:54+00:00,"0,053","0,556","0,391"
2019-07-31 08:59:43+00:00,,,
2019-07-31 08:57:47+00:00,"0,0","0,507","0,493"
2019-07-31 08:54:57+00:00,,,
2019-07-31 08:53:25+00:00,,,
2019-07-31 08:47:01+00:00,,,
2019-07-31 08:44:04+00:00,"0,0","0,726","0,274"
2019-07-31 08:36:00+00:00,,,
2019-07-31 08:30:55+00:00,"0,053","0,775","0,172"
2019-07-31 08:24:52+00:00,"0,0","0,818","0,182"
2019-07-31 08:24:50+00:00,,,
2019-07-31 08:23:24+00:00,,,
2019-07-31 08:02:44+00:00,"0,0","1,0","0,0"
2019-07-31 08:01:19+00:00,,,
2019-07-31 07:57:59+00:00,,,
2019-07-31 07:51:01+00:00,"0,0","1,0","0,0"
2019-07-31 07:46:02+00:00,"0,0","0,809","0,191"
